index,title,keywords
1768,AI Developer,"['in', 'and', 'expertise', 'langchain', 'language']"
1414,Python Middle developer,"['парсинга', 'формат', 'redis', 'бд', 'clickhouse']"
1173,Go разработчик (Enterprise Manager),"['assert', 'chi', 'cron', 'fx', 'gonkey']"
985,Junior Python Developer,"['of', 'experience', 'at', 'hands', 'interest']"
561,Младший аналитик данных,"['google', 'colab', 'github', 'sheets', 'особенность']"
67,Junior Golang Developer,"['cd', 'ci', 'java', 'опыт', 'программирование']"
925,Аналитик данных,"['power', 'prophet', 'pivot', 'query', 'numpy']"
410,Аналитик данных (маркетинг),"['анализ', 'сегментация', 'airflow', 'apache', 'данными']"
237,Intern Economy Game Designer,"['балансировка', 'дизайн', 'ms', 'создание', 'модель']"
1081,"Проектный менеджер по направлению инноваций, AI-технологий, цифровой трансформации","['gigachat', 'powerpoint', 'office', 'word', 'ms']"
564,Flutter-разработчик в стартап,"['плюс', 'dart', 'postrgesql', 'flutter', 'стека']"
1811,Инженер-программист АСУ ТП,"['кипиа', 'контроллер', 'электропривод', 'электротехника', 'оборудование']"
616,Junior QA Engineer (Москва),"['oracle', 'бд', 'знакомство', 'алгоритм', 'основа']"
1250,Аналитик данных / Data Analyst,"['данных', 'highlighttext', 'наличие', 'структура', 'алгоритм']"
1196,Веб-разработчик Python/Web Developer Python,"['область', 'фреймворк', 'база', 'разработка', 'данных']"
1876,Аналитик отдела планирования и экономического анализа,"['логика', 'платформа', 'low', 'сценарий', 'знакомство']"
1541,Junior Data Scientist/MLE,"['анализ', 'дисперсия', 'данных', 'гипотеза', 'библиотеками']"
854,Android Developer (Highload),"['android', 'kotlin', 'architecture', 'best', 'components']"
967,Middle / Senior QA Engineer,"['ios', 'navigation', 'android', 'design', 'and']"
1505,Системный аналитик (Junior),"['code', 'esb', 'integrations', 'lang', 'lavarel']"
539,Backend разработчик (Python FastAPI),"['технология', 'pytest', 'офис', 'готовность', 'kafka']"
1698,Data Analyst (HR-аналитика),"['вероятность', 'отбор', 'очистка', 'признак', 'подготовка']"
618,Web разработчик,"['проект', 'full', 'stack', 'достаточном', 'улучшение']"
1112,Аналитик в команду «Операционный аудит в канале ВСП»,"['выражение', 'индекс', 'представление', 'процедура', 'таблица']"
937,Data Analyst,"['пользователь', 'matplotlib', 'pyspark', 'sklearn', 'scipy']"
565,Python-разработчик (FastApi),"['pydantic', 'библиотека', 'образование', 'год', 'работа']"
50,Software Engineer,"['kimep', 'nazarbayev', 'university', 'выпускник', 'etc']"
1232,Middle Python-разработчик (VPN-сервис),"['aiogram', 'asyncio', 'опыт', 'год', 'разработка']"
1277,Data Scientist / Machine Learning Engineer / Аналитик данных,"['внедрение', 'метод', 'модель', 'обучение', 'владение']"
122,Data Engineer,"['обработка', 'данных', 'использование', 'опыт', 'понимание']"
118,Senior/Lead Data Analyst,"['вывод', 'кросс', 'прогнозирование', 'команда', 'анализ']"
304,Backend-разработчик,"['timescaledb', 'субд', 'построение', 'postgresql', 'принцип']"
1103,Python разработчик,"['dry', 'рсубд', 'solid', 'postgres', 'mysql']"
1600,Backend-разработчик (Python),"['знание', 'библиотека', 'фреймворк', 'django', 'highlighttext']"
1207,Интерн тестировщик,"['внимание', 'деталь', 'ответственность', 'основа', 'преимущество']"
1020,Node.JS Developer,"['node', 'js', 'решение', 'задача', 'mongodb']"
1330,Разработчик Телеграм-ботов,"['ml', 'бот', 'ответ', 'ui', 'настройка']"
939,Аналитик,"['qlik', 'отрасль', 'отчётность', 'superset', 'tableau']"
1794,Python developer middle,"['developer', 'роль', 'субд', 'работа', 'образование']"
792,DevOPS engineer (SRE),"['автоматизация', 'golang', 'конфигурация', 'скриптинга', 'terraform']"
1063,Python Developer,"['элемент', 'мышление', 'использование', 'уровень', 'опыт']"
258,Руководитель проектного офиса и технической поддержки Финтеха (клиентский сервис),"['сотрудник', 'информация', 'поддержка', 'проблема', 'работа']"
1759,Аналитик данных,"['ga', 'gtm', 'доступ', 'сообщество', 'курс']"
684,Backend Python Разработчик (работа в Новосибирске),"['асинхронность', 'фреймворк', 'fastapi', 'работа', 'опыт']"
1243,NLP Engineer,"['обучение', 'фреймворки', 'learn', 'scikit', 'библиотека']"
746,Frontend-разработчик,"['разработки', 'версия', 'контроль', 'веб', 'технология']"
932,Программист Python,"['степень', 'тренинг', 'язык', 'курс', 'программа']"
1089,Инженер -программист АСУ ТП,"['fbd', 'iec', 'ld', 'st', 'связь']"
1218,Junior Python разработчик,"['таск', 'трекер', 'scrum', 'pydantic', 'тест']"
1456,Python разрабочик,"['разработка', 'опыт', 'использование', 'highlighttext', 'python']"
417,DevOps инженер,"['chef', 'iac', 'puppet', 'terraform', 'ansible']"
1774,Python-разработчик,"['концепция', 'api', 'rest', 'принцип', 'знание']"
254,Разработчик Департамента банковских карт,"['процедура', 'анализ', 'доработка', 'модификация', 'устранение']"
613,Руководитель направления разработки,"['cto', 'lead', 'team', 'отдел', 'руководитель']"
1557,Аналитик SQL,"['ad', 'исследование', 'помощь', 'office', 'point']"
494,Дата аналитик,"['mysql', 'база', 'postgresql', 'владение', 'год']"
1773,Python Backend Разработчик,"['django', 'celery', 'студия', 'требование', 'highlighttext']"
1523,Python разработчик,"['profet', 'sktime', 'xgboost', 'sklearn', 'sqlalchemy']"
99,Специалист по работе с отчетностью,"['power', 'формирование', 'навык', 'pivot', 'query']"
499,Senior Frontend разработчик,"['вёрстка', 'css', 'gitlab', 'html', 'версия']"
301,Devops инженер,"['программирование', 'js', 'паттерн', 'проектирование', 'навык']"
1244,Разработчик Node.js,"['tcp', 'udp', 'недостаток', 'различие', 'понимание']"
1588,Python-разработчик (Старший/ Ведущий),"['команда', 'пожелание', 'техлидом', 'численность', 'год']"
671,Разработчик Python,"['nosql', 'mongodb', 'запрос', 'база', 'postgresql']"
543,Python-разработчик,"['направление', 'команда', 'способность', 'желание', 'принцип']"
1420,QA-инженер (frontend),"['снифферами', 'трафик', 'kotlin', 'typescript', 'сценарий']"
1872,DevOps-инженер,"['astra', 'redos', 'развёртывание', 'linux', 'server']"
765,Senior Java Backend Developer,"['развитие', 'кейс', 'применение', 'стек', 'архитектура']"
997,Системный администратор (ИСОГД),"['имеете', 'вуз', 'ит', 'направление', 'администрирование']"
1818,Сервисный инженер (Сервера и СХД),"['нагрузка', 'оборудование', 'безопасность', 'обеспечение', 'bash']"
715,BI-аналитик,"['отчёт', 'highlighttext', 'визуализация', 'создание', 'система']"
331,Руководитель отдела технической поддержки,"['коллектив', 'поставщик', 'услуга', 'человек', 'график']"
1334,Python-разработчик (стажер),"['selenium', 'sqlalchemy', 'код', 'проект', 'numpy']"
1094,Python Back-end Разработчик (веб-сервисы) / Python Back-end Developer (web services),"['highlighttext', 'проект', 'опыт', 'владение', 'год']"
1657,GTM Data Scientist Internship,"['bi', 'ability', 'analytical', 'insights', 'into']"
74,Разработчик C/C++,"['система', 'стандарт', 'применение', 'bash', 'принцип']"
1040,Руководитель направления по автоматизации данных,"['sql', 'фактор', 'pl', 'powerpoint', 'гипотеза']"
1561,QA тестировщик (Manual),"['ооп', 'паттерн', 'автотестов', 'автоматизация', 'плюс']"
1659,Аналитик данных,"['greenplum', 'стека', 'oracle', 'субд', 'библиотека']"
1573,DevOps-инженер,"['cloud', 'yandex', 'администратор', 'aws', 'redis']"
1212,Backend-разработчик,"['vilavi', 'здоровье', 'маркетинг', 'помощник', 'представитель']"
330,Back-end разработчик (AI-ассистент),"['mysql', 'java', 'postgresql', 'опыт', 'владение']"
501,Digital аналитик,"['bi', 'studio', 'google', 'data', 'обработка']"
